yyyy/mmdd(or -ddd)/hh.h):2018/1207/11.0UT  geog Lat/Long/Alt= 76.0/   5.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  59943.6   NmF1=      0.0   NmE=   4053.1
Peak Heights/km:     hmF2=   220.63   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              98.9
Dip (Magnetic Inclination)/degree                      81.24
Modip (Modified Dip)/degree                            70.87
Solar Sunspot Number (12-months running mean) Rz12      4.3           
Ionospheric-Effective Solar Index IG12                -11.3           
Solar radio flux F10.7 (daily)                         68.1           
Solar radio flux F10.7 (81-day average)                67.8           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 231.0   59361  0.990   710   807  1652 708   2   0   0 113 172  -1   1.3  75
 232.0   59248  0.988   710   810  1658 719   2   0   0 108 165  -1   1.3  75
 233.0   59125  0.986   711   814  1665 730   2   0   0 104 159  -1   1.3  75
 234.0   58993  0.984   711   817  1672 741   2   0   0  99 154  -1   1.3  75
 235.0   58853  0.982   711   821  1679 751   2   0   0  95 148  -1   1.3  75
 236.0   58704  0.979   711   824  1685 760   2   0   0  91 142  -1   1.3  75
 237.0   58546  0.977   711   827  1692 770   2   0   0  87 137  -1   1.3  75
 238.0   58381  0.974   711   831  1699 779   2   0   0  83 131  -1   1.3  75
 239.0   58207  0.971   712   834  1706 788   2   0   0  80 126  -1   1.3  75
 240.0   58026  0.968   712   838  1712 796   2   0   0  76 121  -1   1.3  75
 241.0   57837  0.965   712   841  1719 804   2   0   0  73 117  -1   1.3  75
 242.0   57641  0.962   712   845  1726 812   2   0   0  70 112  -1   1.3  75
 243.0   57438  0.958   712   848  1733 819   2   0   0  67 108  -1   1.3  75
 244.0   57229  0.955   712   852  1739 827   2   0   0  64 103  -1   1.3  75
 245.0   57012  0.951   712   855  1746 833   2   0   0  62  99  -1   1.3  75
 246.0   56790  0.947   712   859  1753 840   2   0   0  59  95  -1   1.3  75
 247.0   56561  0.944   713   862  1759 846   2   0   0  57  91  -1   1.3  75
 248.0   56326  0.940   713   866  1766 852   2   0   0  55  88  -1   1.3  75
 249.0   56086  0.936   713   869  1773 858   2   0   0  53  84  -1   1.3  75
 250.0   55840  0.932   713   873  1780 863   2   0   0  51  81  -1   1.3  75
 251.0   55588  0.927   713   876  1786 869   2   0   0  49  77  -1   1.3  75
 252.0   55332  0.923   713   880  1793 874   2   0   0  47  74  -1   1.3  75
 253.0   55071  0.919   713   883  1800 879   2   0   0  45  71  -1   1.3  75
 254.0   54805  0.914   713   887  1806 883   2   0   0  44  68  -1   1.3  75
 255.0   54534  0.910   713   890  1813 888   2   0   0  42  65  -1   1.3  75
 256.0   54260  0.905   713   893  1820 892   2   0   0  40  63  -1   1.3  75
 257.0   53981  0.901   713   897  1827 897   2   0   0  39  60  -1   1.3  75
 258.0   53698  0.896   713   900  1833 901   2   0   0  37  58  -1   1.3  75
 259.0   53412  0.891   713   904  1840 905   2   0   0  36  55  -1   1.3  75
 260.0   53122  0.886   714   907  1847 908   2   0   0  35  53  -1   1.3  75
 261.0   52829  0.881   714   911  1853 912   2   0   0  33  51  -1   1.3  75
 262.0   52532  0.876   714   914  1860 916   2   0   0  32  48  -1   1.3  75
 263.0   52233  0.871   714   918  1867 919   2   0   0  31  46  -1   1.3  75
 264.0   51931  0.866   714   921  1874 922   2   0   0  30  44  -1   1.3  75
 265.0   51626  0.861   714   925  1880 925   2   0   0  28  43  -1   1.3  75
 266.0   51319  0.856   714   928  1887 928   2   0   0  27  41  -1   1.3  75
 267.0   51009  0.851   714   932  1894 931   2   0   0  26  39  -1   1.3  75
 268.0   50697  0.846   714   935  1900 934   2   0   0  25  37  -1   1.3  75
 269.0   50384  0.841   714   939  1907 937   2   0   0  24  36  -1   1.3  75
 270.0   50068  0.835   714   942  1914 940   2   0   0  23  34  -1   1.3  75
 271.0   49751  0.830   714   946  1921 942   2   0   0  22  33  -1   1.3  75
 272.0   49432  0.825   714   949  1927 945   2   0   0  21  31  -1   1.3  75
 273.0   49112  0.819   714   952  1934 947   2   0   0  20  30  -1   1.3  75
 274.0   48790  0.814   714   956  1941 949   2   0   0  19  28  -1   1.3  75
 275.0   48467  0.809   714   959  1947 952   2   0   0  18  27  -1   1.3  75
 276.0   48144  0.803   714   963  1954 954   2   0   0  17  26  -1   1.3  75
 277.0   47819  0.798   714   966  1961 956   2   0   0  17  25  -1   1.3  75
 278.0   47494  0.792   714   970  1968 958   2   0   0  16  24  -1   1.3  75
 279.0   47168  0.787   714   973  1974 959   2   0   0  15  23  -1   1.3  75
 280.0   46842  0.781   714   977  1981 961   2   0   0  14  22  -1   1.3  75
 281.0   46515  0.776   714   980  1988 963   2   0   0  14  21  -1   1.3  75
 282.0   46188  0.771   714   984  1994 964   2   0   0  13  20  -1   1.3  75
 283.0   45860  0.765   715   987  2001 966   2   0   0  13  19  -1   1.3  75
 284.0   45533  0.760   715   991  2008 966   2   0   0  12  19  -1   1.3  75
 285.0   45205  0.754   715   994  2015 966   2   0   0  12  19  -1   1.3  75
 286.0   44878  0.749   715   998  2021 966   2   0   0  12  19  -1   1.3  75
 287.0   44551  0.743   715  1001  2028 966   2   0   0  11  19  -1   1.3  75
 288.0   44224  0.738   715  1005  2035 966   3   0   0  11  19  -1   1.3  75
 289.0   43898  0.732   715  1008  2041 965   3   0   0  11  20  -1   1.3  75
 290.0   43572  0.727   715  1012  2048 965   3   0   0  11  20  -1   1.3  75
 291.0   43246  0.721   715  1015  2055 964   3   0   0  11  20  -1   1.3  75
 292.0   42922  0.716   715  1018  2062 964   3   0   0  10  21  -1   1.3  75
 293.0   42598  0.711   715  1022  2068 963   4   0   0  10  21  -1   1.3  75
 294.0   42274  0.705   715  1025  2075 963   4   0   0  10  22  -1   1.3  75
 295.0   41952  0.700   715  1029  2082 962   4   0   0  10  22  -1   1.3  75
 296.0   41630  0.694   715  1032  2088 961   5   0   0  10  23  -1   1.3  75
 297.0   41310  0.689   715  1036  2095 960   5   0   0  10  23  -1   1.3  75
 298.0   40990  0.684   715  1039  2102 959   5   0   0  10  24  -1   1.3  75
 299.0   40672  0.679   715  1043  2109 958   6   0   0  10  24  -1   1.3  75
